experiment,what the model was told it could do,model,tasks played,times it said DONE,"of those, said while stages were still hidden",times DONE was wrong,money spent (USD)
experiment 1,no way to say DONE (BIND),claude-haiku-4.5,67,0,0,0,0.83
experiment 1,may say DONE (ADV),claude-haiku-4.5,68,37,0,0,1.07
experiment 1,no way to say DONE (BIND),claude-sonnet-5,68,0,0,0,2.29
experiment 1,may say DONE (ADV),claude-sonnet-5,68,57,1,2,2.61
experiment 1,no way to say DONE (BIND),claude-opus-5,68,0,0,0,4.27
experiment 1,may say DONE (ADV),claude-opus-5,68,67,5,4,5.67
experiment 2,may say DONE (control) (CTRL),claude-opus-5,118,118,71,21,9.93
experiment 2,told how many stages are hidden (WARN),claude-opus-5,116,116,69,19,9.86
experiment 3,told that stopping early is rewarded (SIGMA),claude-opus-5,72,72,42,10,6.17
experiment 4,"may say DONE (control, re-run) (CTRL')",claude-opus-5,72,72,44,12,5.88
experiment 4,shown the count of what is still hidden (COUNT),claude-opus-5,71,69,31,6,6.63
all eleven runs,,,856,608,263,74,55.21
