experiment,what the model was told it could do,how often a green board means finished,DONEs at the decision point,"of those, how many were wrong",share of its DONEs that were wrong
experiment 2,may say DONE (control) (CTRL),1 task in 4,19,9,0.4737
experiment 2,may say DONE (control) (CTRL),3 tasks in 4,42,2,0.0476
experiment 2,told how many stages are hidden (WARN),1 task in 4,18,7,0.3889
experiment 2,told how many stages are hidden (WARN),3 tasks in 4,41,2,0.0488
experiment 3,told that stopping early is rewarded (SIGMA),1 task in 4,9,3,0.3333
experiment 3,told that stopping early is rewarded (SIGMA),3 tasks in 4,27,1,0.0370
experiment 4,"may say DONE (control, re-run) (CTRL')",1 task in 4,13,5,0.3846
experiment 4,"may say DONE (control, re-run) (CTRL')",3 tasks in 4,25,1,0.0400
experiment 4,shown the count of what is still hidden (COUNT),1 task in 4,6,1,0.1667
experiment 4,shown the count of what is still hidden (COUNT),3 tasks in 4,20,0,0.0000
all four experiments pooled,,1 task in 4,65,25,0.3846
all four experiments pooled,,3 tasks in 4,155,6,0.0387
